from_stop_id,to_stop_id,peak,amount
lirr1,lirr102,False,725
lirr1,lirr102,True,1000
lirr1,lirr107,False,1025
lirr1,lirr107,True,1400
lirr1,lirr118,False,1025
lirr1,lirr118,True,1400
lirr1,lirr123,False,325
lirr1,lirr123,True,325
lirr1,lirr127,False,325
lirr1,lirr127,True,325
lirr1,lirr132,False,325
lirr1,lirr132,True,325
lirr1,lirr148,False,1025
lirr1,lirr148,True,1400
lirr1,lirr152,False,325
lirr1,lirr152,True,325
lirr1,lirr154,False,325
lirr1,lirr154,True,325
lirr1,lirr182,False,325
lirr1,lirr182,True,325
lirr1,lirr185,False,325
lirr1,lirr185,True,325
lirr1,lirr214,False,1025
lirr1,lirr214,True,1400
lirr1,lirr237,False,1025
lirr1,lirr237,True,1400
lirr1,lirr241,False,1025
lirr1,lirr241,True,1400
lirr1,lirr50,False,1025
lirr1,lirr50,True,1400
lirr1,lirr52,False,325
lirr1,lirr52,True,325
lirr1,lirr55,False,1025
lirr1,lirr55,True,1400
lirr1,lirr67,False,325
lirr1,lirr67,True,325
lirr1,lirr71,False,325
lirr1,lirr71,True,325
lirr1,lirr76,False,325
lirr1,lirr76,True,325
lirr1,lirr77,False,325
lirr1,lirr77,True,325
lirr1,lirr90,False,1025
lirr1,lirr90,True,1400
lirr100,lirr102,False,1100
lirr100,lirr102,True,1525
lirr100,lirr107,False,1425
lirr100,lirr107,True,1975
lirr100,lirr117,False,325
lirr100,lirr117,True,325
lirr100,lirr118,False,1425
lirr100,lirr118,True,1975
lirr100,lirr125,False,750
lirr100,lirr125,True,750
lirr100,lirr127,False,750
lirr100,lirr127,True,750
lirr100,lirr13,False,950
lirr100,lirr13,True,950
lirr100,lirr132,False,750
lirr100,lirr132,True,750
lirr100,lirr135,False,600
lirr100,lirr135,True,600
lirr100,lirr136,False,600
lirr100,lirr136,True,600
lirr100,lirr140,False,325
lirr100,lirr140,True,325
lirr100,lirr141,False,950
lirr100,lirr141,True,950
lirr100,lirr148,False,1425
lirr100,lirr148,True,1975
lirr100,lirr152,False,750
lirr100,lirr152,True,750
lirr100,lirr157,False,325
lirr100,lirr157,True,325
lirr100,lirr16,False,600
lirr100,lirr16,True,600
lirr100,lirr163,False,325
lirr100,lirr163,True,325
lirr100,lirr175,False,1100
lirr100,lirr175,True,1525
lirr100,lirr183,False,600
lirr100,lirr183,True,600
lirr100,lirr184,False,1100
lirr100,lirr184,True,1525
lirr100,lirr187,False,600
lirr100,lirr187,True,600
lirr100,lirr191,False,950
lirr100,lirr191,True,950
lirr100,lirr198,False,325
lirr100,lirr198,True,325
lirr100,lirr204,False,325
lirr100,lirr204,True,325
lirr100,lirr21,False,325
lirr100,lirr21,True,325
lirr100,lirr211,False,750
lirr100,lirr211,True,750
lirr100,lirr213,False,600
lirr100,lirr213,True,600
lirr100,lirr214,False,1425
lirr100,lirr214,True,1975
lirr100,lirr215,False,600
lirr100,lirr215,True,600
lirr100,lirr225,False,600
lirr100,lirr225,True,600
lirr100,lirr226,False,600
lirr100,lirr226,True,600
lirr100,lirr23,False,750
lirr100,lirr23,True,750
lirr100,lirr233,False,950
lirr100,lirr233,True,950
lirr100,lirr237,False,1425
lirr100,lirr237,True,1975
lirr100,lirr241,False,1425
lirr100,lirr241,True,1975
lirr100,lirr26,False,325
lirr100,lirr26,True,325
lirr100,lirr27,False,325
lirr100,lirr27,True,325
lirr100,lirr38,False,325
lirr100,lirr38,True,325
lirr100,lirr39,False,600
lirr100,lirr39,True,600
lirr100,lirr4,False,950
lirr100,lirr4,True,950
lirr100,lirr48,False,950
lirr100,lirr48,True,950
lirr100,lirr50,False,1425
lirr100,lirr50,True,1975
lirr100,lirr55,False,1425
lirr100,lirr55,True,1975
lirr100,lirr63,False,750
lirr100,lirr63,True,750
lirr100,lirr64,False,600
lirr100,lirr64,True,600
lirr100,lirr74,False,325
lirr100,lirr74,True,325
lirr100,lirr8,False,325
lirr100,lirr8,True,325
lirr100,lirr83,False,950
lirr100,lirr83,True,950
lirr100,lirr89,False,1100
lirr100,lirr89,True,1525
lirr100,lirr90,False,1425
lirr100,lirr90,True,1975
lirr100,lirr92,False,600
lirr100,lirr92,True,600
lirr101,lirr102,False,600
lirr101,lirr102,True,825
lirr101,lirr107,False,925
lirr101,lirr107,True,1250
lirr101,lirr114,False,325
lirr101,lirr114,True,325
lirr101,lirr118,False,925
lirr101,lirr118,True,1250
lirr101,lirr119,False,600
lirr101,lirr119,True,825
lirr101,lirr122,False,600
lirr101,lirr122,True,825
lirr101,lirr148,False,925
lirr101,lirr148,True,1250
lirr101,lirr180,False,600
lirr101,lirr180,True,825
lirr101,lirr184,False,600
lirr101,lirr184,True,825
lirr101,lirr211,False,325
lirr101,lirr211,True,325
lirr101,lirr214,False,925
lirr101,lirr214,True,1250
lirr101,lirr217,False,325
lirr101,lirr217,True,325
lirr101,lirr237,False,925
lirr101,lirr237,True,1250
lirr101,lirr241,False,925
lirr101,lirr241,True,1250
lirr101,lirr32,False,325
lirr101,lirr32,True,325
lirr101,lirr50,False,925
lirr101,lirr50,True,1250
lirr101,lirr55,False,925
lirr101,lirr55,True,1250
lirr101,lirr65,False,325
lirr101,lirr65,True,325
lirr101,lirr66,False,325
lirr101,lirr66,True,325
lirr101,lirr90,False,925
lirr101,lirr90,True,1250
lirr101,lirr94,False,325
lirr101,lirr94,True,325
lirr102,lirr1,False,725
lirr102,lirr1,True,1000
lirr102,lirr100,False,1100
lirr102,lirr100,True,1525
lirr102,lirr101,False,600
lirr102,lirr101,True,825
lirr102,lirr107,False,775
lirr102,lirr107,True,1075
lirr102,lirr111,False,1100
lirr102,lirr111,True,1525
lirr102,lirr113,False,725
lirr102,lirr113,True,1000
lirr102,lirr114,False,600
lirr102,lirr114,True,825
lirr102,lirr117,False,900
lirr102,lirr117,True,1225
lirr102,lirr118,False,775
lirr102,lirr118,True,1075
lirr102,lirr119,False,400
lirr102,lirr119,True,550
lirr102,lirr122,False,400
lirr102,lirr122,True,550
lirr102,lirr123,False,725
lirr102,lirr123,True,1000
lirr102,lirr124,False,600
lirr102,lirr124,True,825
lirr102,lirr125,False,600
lirr102,lirr125,True,825
lirr102,lirr126,False,1900
lirr102,lirr126,True,2600
lirr102,lirr127,False,600
lirr102,lirr127,True,825
lirr102,lirr129,False,1100
lirr102,lirr129,True,1525
lirr102,lirr13,False,1900
lirr102,lirr13,True,2600
lirr102,lirr132,False,600
lirr102,lirr132,True,825
lirr102,lirr135,False,725
lirr102,lirr135,True,1000
lirr102,lirr136,False,725
lirr102,lirr136,True,1000
lirr102,lirr14,False,1100
lirr102,lirr14,True,1525
lirr102,lirr140,False,1475
lirr102,lirr140,True,2025
lirr102,lirr141,False,1900
lirr102,lirr141,True,2600
lirr102,lirr142,False,600
lirr102,lirr142,True,825
lirr102,lirr148,False,775
lirr102,lirr148,True,1075
lirr102,lirr149,False,600
lirr102,lirr149,True,825
lirr102,lirr152,False,600
lirr102,lirr152,True,825
lirr102,lirr153,False,900
lirr102,lirr153,True,1225
lirr102,lirr154,False,725
lirr102,lirr154,True,1000
lirr102,lirr155,False,725
lirr102,lirr155,True,1000
lirr102,lirr157,False,1100
lirr102,lirr157,True,1525
lirr102,lirr16,False,725
lirr102,lirr16,True,1000
lirr102,lirr163,False,1100
lirr102,lirr163,True,1525
lirr102,lirr164,False,1100
lirr102,lirr164,True,1525
lirr102,lirr165,False,900
lirr102,lirr165,True,1225
lirr102,lirr175,False,400
lirr102,lirr175,True,550
lirr102,lirr176,False,1900
lirr102,lirr176,True,2600
lirr102,lirr179,False,1100
lirr102,lirr179,True,1525
lirr102,lirr180,False,400
lirr102,lirr180,True,550
lirr102,lirr182,False,725
lirr102,lirr182,True,1000
lirr102,lirr183,False,725
lirr102,lirr183,True,1000
lirr102,lirr184,False,400
lirr102,lirr184,True,550
lirr102,lirr185,False,725
lirr102,lirr185,True,1000
lirr102,lirr187,False,725
lirr102,lirr187,True,1000
lirr102,lirr190,False,1900
lirr102,lirr190,True,2600
lirr102,lirr191,False,1900
lirr102,lirr191,True,2600
lirr102,lirr193,False,1100
lirr102,lirr193,True,1525
lirr102,lirr195,False,600
lirr102,lirr195,True,825
lirr102,lirr198,False,1475
lirr102,lirr198,True,2025
lirr102,lirr20,False,725
lirr102,lirr20,True,1000
lirr102,lirr202,False,1100
lirr102,lirr202,True,1525
lirr102,lirr204,False,1100
lirr102,lirr204,True,1525
lirr102,lirr205,False,725
lirr102,lirr205,True,1000
lirr102,lirr21,False,1475
lirr102,lirr21,True,2025
lirr102,lirr211,False,600
lirr102,lirr211,True,825
lirr102,lirr213,False,725
lirr102,lirr213,True,1000
lirr102,lirr214,False,775
lirr102,lirr214,True,1075
lirr102,lirr215,False,725
lirr102,lirr215,True,1000
lirr102,lirr216,False,600
lirr102,lirr216,True,825
lirr102,lirr217,False,600
lirr102,lirr217,True,825
lirr102,lirr219,False,600
lirr102,lirr219,True,825
lirr102,lirr220,False,900
lirr102,lirr220,True,1225
lirr102,lirr223,False,1475
lirr102,lirr223,True,2025
lirr102,lirr225,False,725
lirr102,lirr225,True,1000
lirr102,lirr226,False,725
lirr102,lirr226,True,1000
lirr102,lirr23,False,600
lirr102,lirr23,True,825
lirr102,lirr233,False,1900
lirr102,lirr233,True,2600
lirr102,lirr237,False,775
lirr102,lirr237,True,1075
lirr102,lirr241,False,775
lirr102,lirr241,True,1075
lirr102,lirr26,False,1100
lirr102,lirr26,True,1525
lirr102,lirr27,False,900
lirr102,lirr27,True,1225
lirr102,lirr29,False,1100
lirr102,lirr29,True,1525
lirr102,lirr31,False,725
lirr102,lirr31,True,1000
lirr102,lirr32,False,600
lirr102,lirr32,True,825
lirr102,lirr33,False,1100
lirr102,lirr33,True,1525
lirr102,lirr36,False,600
lirr102,lirr36,True,825
lirr102,lirr38,False,900
lirr102,lirr38,True,1225
lirr102,lirr39,False,725
lirr102,lirr39,True,1000
lirr102,lirr4,False,1900
lirr102,lirr4,True,2600
lirr102,lirr40,False,900
lirr102,lirr40,True,1225
lirr102,lirr44,False,900
lirr102,lirr44,True,1225
lirr102,lirr48,False,1900
lirr102,lirr48,True,2600
lirr102,lirr50,False,775
lirr102,lirr50,True,1075
lirr102,lirr51,False,725
lirr102,lirr51,True,1000
lirr102,lirr52,False,600
lirr102,lirr52,True,825
lirr102,lirr55,False,775
lirr102,lirr55,True,1075
lirr102,lirr59,False,725
lirr102,lirr59,True,1000
lirr102,lirr63,False,600
lirr102,lirr63,True,825
lirr102,lirr64,False,725
lirr102,lirr64,True,1000
lirr102,lirr65,False,600
lirr102,lirr65,True,825
lirr102,lirr66,False,600
